,Star_name,Distance,Mass,Radius
0,SDSS J000013.54+255418.6 [de],46.1,48,0.99
1,2MASS J00040288-6410358,192,19,1.63
2,LHS 102BC,,,
3,2MASS J00242463-0158201,37.7,79,1.09
4,2MASS J00250365+4759191AB,143,,
5,2MASS J00274197+0503417,236,31,1.44
6,2MASS J00275592+2219328,46.9,,    
7,2MASSW J0030300-145033,87.2,54,0.98
